"CAS","Compound","DTXSID","Clint_native","Clint_rf","Clint_used","Clint_source","AC50_5pct_uM","AC50_med_uM","AC50_source","n_tc_assays","AED_median","AED_5pct","AED_95pct","AED_mean","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway","BER","BER_low","BER_high","concern"
"83055-99-6","Bensulfuron-methyl","DTXSID7024164",1.65,3.32517736198028,1.65,"httk_measured",1,1,"default_1uM",0,0.033805,0.00956855,0.131005,0.046019681,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"117-84-0","Di-n-octyl phthalate","DTXSID1021956",0,2.78576245162314,2.78576245162314,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.033665,0.0059686,0.13443,0.0483211419,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"57-97-6","""7,12-dimethylbenz(a)anthracene""","DTXSID1020510",3.226,18.0301887969975,3.226,"httk_measured",1.44612754690257,21.8776162394955,"example.toxcast",479,0.03391,0.0059094,0.13734,0.0486288887,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"52479-85-3","Exifone","DTXSID9044950",28.1,40.9912646931854,28.1,"httk_measured",1,1,"default_1uM",0,0.0078645,0.00107385,0.14095,0.0319246517,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"2921-88-2","Chlorpyrifos","DTXSID4020458",2.6,10.5176037956703,2.6,"httk_measured",1,1,"default_1uM",0,0.032075,0.0047252,0.152025,0.0469353162,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"205-99-2","Benzo[b]fluoranthene","DTXSID0023907",5.564,10.1247371114591,5.564,"httk_measured",1,1,"default_1uM",0,0.03937,0.00768185,0.16068,0.0579586865,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"103-24-2","Azelaic acid di(2-ethylhexyl) ester","DTXSID3026697",3.152,2.82711408174441,3.152,"httk_measured",1,1,"default_1uM",0,0.03973,0.00670025,0.161115,0.0567076767,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"92-04-6","2-chloro-4-phenylphenol","DTXSID0022353",0,45.8780518331106,45.8780518331106,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.01891,0.00256285,0.16569,0.0458870763,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"22204-53-1","Naproxen","DTXSID4040686",26.48,40.411506589731,26.48,"httk_measured",1,1,"default_1uM",0,0.02941,0.00333025,0.17491,0.0545386735,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"834-12-8","Ametryn","DTXSID1023869",14.7,27.6385480929504,14.7,"httk_measured",1,1,"default_1uM",0,0.039465,0.00551615,0.178035,0.058474395,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"145701-21-9","Diclosulam","DTXSID4034528",3.442,5.92281412542396,3.442,"httk_measured",1,1,"default_1uM",0,0.036165,0.00493775,0.19973,0.0603258297,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"87820-88-0","Tralkoxydim","DTXSID1034973",0,3.27730237886901,3.27730237886901,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.05085,0.010688,0.20223,0.07178475,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"88-85-7","Dinoseb","DTXSID3020207",0,82.8817462705947,82.8817462705947,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.033235,0.0038957,0.213765,0.0626228983,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"101-61-1","""4,4'-methylenebis(n,n-dimethylaniline)""","DTXSID5020869",18.85,30.2108870979985,18.85,"httk_measured",1,1,"default_1uM",0,0.034475,0.00358785,0.21499,0.063128309,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"33820-53-0","Isopropalin","DTXSID8024157",12.5,27.2443186784517,12.5,"httk_measured",1,1,"default_1uM",0,0.013615,0.00201415,0.2191,0.0478934134,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"50892-23-4","Pirinixic acid","DTXSID4020290",7.51,9.02857188988186,7.51,"httk_measured",1,1,"default_1uM",0,0.03863,0.0052703,0.23125,0.0658907854,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"95737-68-1","Pyriproxyfen","DTXSID1032640",16.86,27.9927272709102,16.86,"httk_measured",1,1,"default_1uM",0,0.0398,0.0048753,0.2381,0.0704864783,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"563-12-2","Ethion","DTXSID2024086",10.41,15.1974359691305,10.41,"httk_measured",1,1,"default_1uM",0,0.0306,0.00384265,0.23858,0.0638672794,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"584-79-2","D-cis,trans-allethrin","DTXSID8035180",0,3.78236513913867,3.78236513913867,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.06321,0.0119105,0.24713,0.090665984,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"54965-24-1","Tamoxifen citrate","DTXSID8021301",0,12.6352274410106,12.6352274410106,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.047495,0.0065628,0.248365,0.0793691223,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"129-00-0","Pyrene","DTXSID3024289",6.18,11.3332589643072,6.18,"httk_measured",1,1,"default_1uM",0,0.055605,0.00878625,0.25304,0.080696161,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"64-77-7","Tolbutamide","DTXSID8021359",1.324,3.42989739878115,1.324,"httk_measured",1,1,"default_1uM",0,0.04994,0.0084694,0.25961,0.079445932,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"40487-42-1","Pendimethalin","DTXSID7024245",7.214,21.1112874905801,7.214,"httk_measured",1,1,"default_1uM",0,0.060185,0.010746,0.265745,0.089229795,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"97322-87-7","Troglitazone","DTXSID8023719",21.85,18.0977270855,21.85,"httk_measured",1,1,"default_1uM",0,0.048255,0.0060058,0.271895,0.0832482341,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"206-44-0","Fluoranthene","DTXSID3024104",8.064,10.9826786249478,8.064,"httk_measured",1,1,"default_1uM",0,0.058025,0.010826,0.27262,0.088126066,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"199119-58-9","Trifloxysulfuron-sodium","DTXSID8040222",0,9.11747149037713,9.11747149037713,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.04762,0.00693735,0.27694,0.083596236,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"118134-30-8","Spiroxamine","DTXSID1034212",3.353,8.98884325010836,3.353,"httk_measured",1,1,"default_1uM",0,0.053155,0.00596345,0.30303,0.0964659254,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"208465-21-8","Mesosulfuron-methyl","DTXSID6034712",5.452,8.25686119556941,5.452,"httk_measured",1,1,"default_1uM",0,0.0556,0.00571585,0.31112,0.0947427739,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"36734-19-7","Iprodione","DTXSID3024154",11.7,24.0477315781724,11.7,"httk_measured",1,1,"default_1uM",0,0.058825,0.00645055,0.31995,0.101447085,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"97-56-3","2-amino-5-azotoluene","DTXSID1020069",6.89,19.3139699361006,6.89,"httk_measured",1,1,"default_1uM",0,0.06317,0.007922,0.32226,0.1000940008,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"99-66-1","Valproic acid","DTXSID6023733",0.4366,2.45814196580452,0.4366,"httk_measured",1,1,"default_1uM",0,0.1059,0.036208,0.322395,0.13581838,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"120-36-5","Dichlorprop","DTXSID0020440",0,6.20938265901504,6.20938265901504,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.050365,0.0056991,0.32491,0.0921497811,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"81-90-3","Phenolphthalin","DTXSID5022439",1.85,2.86746225425199,1.85,"httk_measured",1,1,"default_1uM",0,0.068355,0.0149465,0.32987,0.10755892,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"29094-61-9","Glipizide","DTXSID0040676",1.597,3.77362068693091,1.597,"httk_measured",1,1,"default_1uM",0,0.076045,0.0109705,0.341565,0.11695396,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"116-06-3","Aldicarb","DTXSID0039223",0,1.7042979761079,1.7042979761079,"RF_imputed_chem.physical_and_invitro.data",0.0839766700006578,6.20869034230064,"example.toxcast",37,0.076305,0.016095,0.34458,0.116832381,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"15687-27-1","Ibuprofen","DTXSID5020732",10.12,14.2450698157585,10.12,"httk_measured",1,1,"default_1uM",0,0.051495,0.0053892,0.349455,0.0950335035,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"101-20-2","Triclocarban","DTXSID4026214",9.45,19.0042938018239,9.45,"httk_measured",1,1,"default_1uM",0,0.083055,0.0109695,0.359265,0.1210119221,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"144550-36-7","Iodosulfuron-methyl-sodium","DTXSID2034673",5.691,9.87152570633874,5.691,"httk_measured",1,1,"default_1uM",0,0.06605,0.008951,0.361285,0.1101710491,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"29091-21-2","Prodiamine","DTXSID1034210",7.216,40.3908600779951,7.216,"httk_measured",1,1,"default_1uM",0,0.07737,0.0079158,0.362895,0.1171786824,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"122-14-5","Fenitrothion","DTXSID4032613",10.02,37.3256264619065,10.02,"httk_measured",1,1,"default_1uM",0,0.06745,0.00698705,0.371545,0.1180135614,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"13680-35-8","4,4'-methylenebis(2,6-diethylaniline)","DTXSID4048191",8.2,12.8310005799687,8.2,"httk_measured",1,1,"default_1uM",0,0.093505,0.013491,0.37523,0.128557262,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"15299-99-7","Napropamide","DTXSID5024211",15.15,34.4685046008421,15.15,"httk_measured",1,1,"default_1uM",0,0.06466,0.0064934,0.38393,0.1184072626,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"50-29-3","""p,p'-ddt""","DTXSID4020375",12.5,6.92236858916689,12.5,"httk_measured",1,1,"default_1uM",0,0.1147,0.0221155,0.384155,0.151092715,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"83657-24-3","Diniconazole","DTXSID2040363",0,7.8708143871224,7.8708143871224,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.1035,0.014959,0.38912,0.142749395,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"19774-82-4","Amiodarone hydrochloride","DTXSID7037185",4.537,8.44999990930858,4.537,"httk_measured",1,1,"default_1uM",0,0.078465,0.00655275,0.39035,0.1247532489,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"35554-44-0","Imazalil","DTXSID8024151",0,4.5559887212547,4.5559887212547,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.09021,0.0147485,0.399,0.1338923576,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"288104-79-0","Surinabant","DTXSID2047357",0,12.4395700562388,12.4395700562388,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.07348,0.0112225,0.41189,0.12437638,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"13674-87-8","""tris(1,3-dichloro-2-propyl) phosphate (tdcpp)""","DTXSID9026261",5.092,8.11922184042217,5.092,"httk_measured",1,1,"default_1uM",0,0.079875,0.0123645,0.41917,0.129144311,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"66230-04-4","Esfenvalerate","DTXSID4032667",0,10.8152821494586,10.8152821494586,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.1137,0.019607,0.4263,0.155762894,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"121552-61-2","Cyprodinil","DTXSID1032359",37.77,35.9374655124626,37.77,"httk_measured",1,1,"default_1uM",0,0.083505,0.0096348,0.428695,0.1344074124,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"60168-88-9","Fenarimol","DTXSID2032390",3.788,9.12919593104727,3.788,"httk_measured",1,1,"default_1uM",0,0.1102,0.020889,0.432395,0.1582240494,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"18979-55-0","4-(hexyloxy)phenol","DTXSID4048195",83.6,66.9713977226358,83.6,"httk_measured",1,1,"default_1uM",0,0.046285,0.00394105,0.43405,0.1106218354,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"534-52-1","""2-methyl-4,6-dinitrophenol""","DTXSID1022053",0,41.7689785245842,41.7689785245842,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.07619,0.00711095,0.436965,0.1254807072,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"120068-37-3","Fipronil","DTXSID4034609",0,3.62087088451451,3.62087088451451,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.10875,0.0226295,0.44661,0.155956911,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"99-30-9","Dichloran","DTXSID2020426",0,15.6302784020607,15.6302784020607,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.07215,0.00721385,0.44957,0.132548077,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
"3691-35-8","Chlorophacinone","DTXSID2032348",0,37.9917637310234,37.9917637310234,"RF_imputed_chem.physical_and_invitro.data",1,1,"default_1uM",0,0.01731,0.0026708,0.4503,0.0916825938,NA,NA,NA,NA,NA,NA,NA,NA,"no_exposure_data"
