DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID3032337,33629-47-9,Butralin,295.3,4.929,0.005,1.0,,31.35,10.1499,6.9242,1.42077,1.279598,1.19762,10.06928,9.068766,8.487771,,,,,no_data,no_data,no_data
DTXSID7023936,2008-41-5,Butylate,217.4,4.149,0.005,1.0,,52.51,88.599,0.0202,1.451669,1.470974,0.017134,7.574226,7.674956,0.089396,,,,,no_data,no_data,no_data
DTXSID9020247,63-25-2,Carbaryl,201.2,2.358,0.6922,1.0,,27.27,13.2268,3.6825,1.499306,1.498569,1.494874,7.239847,7.236291,7.218446,,,,,no_data,no_data,no_data
DTXSID0023951,5234-68-4,Carboxin,235.3,2.14,0.175,1.0,,24.41,30.2718,10.4882,1.496937,1.497529,1.49289,8.453502,8.456846,8.430649,,,,,no_data,no_data,no_data
DTXSID2032344,54593-83-8,Chlorethoxyfos,336.0,4.588,0.00394,1.0,,617.0,76.1093,13.8251,1.494626,1.457513,1.292573,12.052661,11.753388,10.423311,,,,,no_data,no_data,no_data
DTXSID3034872,1698-60-8,Chloridazon,221.6,1.172,0.4273,1.0,,0.0,0.1478,4.2627,0.0,1.317628,1.492836,0.0,7.00767,7.939498,,,,,no_data,no_data,no_data
DTXSID7020764,101-21-3,Chlorpropham,213.7,3.507,0.0833,1.0,,78.1,14.6936,0.0165,1.497987,1.489363,0.203809,7.682877,7.638647,1.045297,,,,,no_data,no_data,no_data
DTXSID6032352,5598-13-0,Chlorpyrifos-methyl,322.5,4.31,0.005,1.0,,24.1,4.4946,13.286,1.398547,1.079939,1.325573,10.824755,8.358729,10.259936,,,,,no_data,no_data,no_data
DTXSID3034456,87818-31-3,Cinmethylin,274.4,4.62,0.005,1.0,,28.17,26.9761,15.8434,1.412349,1.408705,1.350931,9.301163,9.27717,8.896688,,,,,no_data,no_data,no_data
DTXSID9023881,74115-24-5,Clofentezine,303.2,3.1,0.005,1.0,,0.0,0.0028,21.5234,0.0,0.002399,1.387315,0.0,0.017454,10.09521,,,,,no_data,no_data,no_data
