"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"Bentazone","25057-89-0","DTXSID0023901",2.337,240.3," ","2.03",0,0.01215,0.02147,NA,240.3,2.337,0.02147,NA,0,11.9302550800389,TRUE,11.9302550800389,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Bifenazate","149877-41-8","DTXSID5032525",3.165,300.4," ","13.7",41.15,6.54e-10,0.836,NA,300.4,3.165,0.836,NA,41.15,16.951671767652,FALSE,41.15,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Bifenthrin","82657-04-3","DTXSID9020160",6.186,422.9," "," ",0,0.9994,0.005,NA,422.9,6.186,0.005,NA,0,13.7688826111083,TRUE,13.7688826111083,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Bisphenol-a","80-05-7","DTXSID7020182",3.32,228.3," ","9.78,10.4",19.9,0,0.0385,0.7702,228.3,3.32,0.0385,0.7702,19.9,25.5582466087208,FALSE,19.9,"httk_measured",814,0.146589977600508,21.8776162394955,"example.toxcast",NA,NA,NA,NA,NA
"Boscalid","188425-85-6","DTXSID6034392",2.961,343.2," ","14.3",17.28,3.48e-11,0.03201,NA,343.2,2.961,0.03201,NA,17.28,13.3630883962638,FALSE,17.28,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Bromacil","314-40-9","DTXSID4022020",2.109,261.1," ","12.2",0,0.1992,0.0852,NA,261.1,2.109,0.0852,NA,0,9.54369915499517,TRUE,9.54369915499517,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Bromoxynil","1689-84-5","DTXSID3022162",2.625,276.9," ","5.11",7.866,8.29e-06,0.5001,NA,276.9,2.625,0.5001,NA,7.866,6.49033890430304,FALSE,7.866,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Buprofezin","69327-76-0","DTXSID8034401",4.299,305.4," "," ",18.47,0.00505,0.0003605,NA,305.4,4.299,0.0003605,NA,18.47,19.9785298408045,FALSE,18.47,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Butachlor","23184-66-9","DTXSID3034402",4.497,311.8," "," ",100.8,0.002182,0.005,NA,311.8,4.497,0.005,NA,100.8,35.5485345799007,FALSE,100.8,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Butralin","33629-47-9","DTXSID3032337",4.929,295.3," ","10.4",31.35,1.93e-05,0.005,NA,295.3,4.929,0.005,NA,31.35,23.6049499338254,FALSE,31.35,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
