CAS,Compound,Clint,SMILES,Clint_pred_GCN,log10_true,log10_pred_GCN,fold_error
80-05-7,Bisphenol-a,19.9,OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,2.8624,1.2989,0.4569,6.95
34256-82-1,Acetochlor,84.71,CCOC(=O)CN(CC(=O)OCC)C(=O)CCl,4.1233,1.9279,0.6154,20.539
99-71-8,4-(butan-2-yl)phenol,19.03,CCC(C)c1ccc(O)cc1,7.3398,1.2795,0.8657,2.592
58-08-2,Caffeine,0.2855,Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.0017,-0.5429,-2.5613,104.33
298-46-4,Carbamazepine,2.375,NC(=O)N1c2ccccc2C=Cc2ccccc21,8.2792,0.3758,0.918,3.485
2921-88-2,Chlorpyrifos,2.6,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,8.1636,0.4151,0.9119,3.139
138261-41-3,Imidacloprid,2.807,O=[N+]([O-])/C(=N/Cc1ccc(Cl)nc1)NC1CCCCC1,0.3821,0.4484,-0.4167,7.329
87-86-5,Pentachlorophenol,8.764,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.0524,0.9428,0.6078,2.162
62-44-2,Phenacetin,9.346,CCOC(=O)Nc1ccc(OCC)cc1,41.2135,0.9707,1.615,4.409
57-41-0,Phenytoin,0.8178,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,9.9741,-0.0868,0.9989,12.183
94-75-7,"2,4-d",0.0,OC(=O)COc1ccc(Cl)cc1Cl,20.9468,-3.0,1.3211,20947.847
1912-24-9,Atrazine,0.0,CCNc1nc(Cl)nc(NC(C)C)n1,0.308,-3.0,-0.51,309.006
330-54-1,Diuron,12.15,CN(C)C(=O)Nc1ccc(Cl)cc1Cl,4.3937,1.0846,0.6429,2.765
15307-79-6,Diclofenac sodium,38.84,O=C(Cc1ccccc1Cl)Nc1ccc(cc1)Cl,1.3958,1.5893,0.1451,27.808
137-26-8,Thiram,816.0,S=C(N(C)C)SSC(=S)N(C)C,22.9687,2.9117,1.3612,35.525
52-68-6,Trichlorfon,31.7,COP(=O)(OC)C(Cl)(Cl)O,80.8929,1.5011,1.9079,2.552
2104-64-5,O-ethyl o-(p-nitrophenyl) phenylphosphonothioate,8.16,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,36.9471,0.9117,1.5676,4.527
62-73-7,Dichlorvos,86.4,COP(=O)(OC)OC=C(Cl)Cl,31.9383,1.9365,1.5043,2.705
56-72-4,Coumaphos,31.7,CCOP(=S)(OCC)Oc1ccc2c(c1)OC(=O)C2,1.7997,1.5011,0.2554,17.605
