CAS,SMILES
21725-46-2,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
113136-77-9,OC(=O)C1CC1C(=O)Nc2ccc(Cl)cc2Cl
1134-23-2,CCSC(=O)N(CC)C1CCCCC1
94361-06-5,CC(C1CC1)C(O)(Cn2cncn2)c3ccc(Cl)cc3
121552-61-2,Cc1cc(nc(Nc2ccccc2)n1)C3CC3
66215-27-8,Nc1nc(N)nc(NC2CC2)n1
584-79-2,CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C
533-74-4,CN1CSC(=S)N(C)C1
333-41-5,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C
962-58-3,CCO[P](=O)(OCC)Oc1cc(C)nc(n1)C(C)C
1918-00-9,COc1c(Cl)ccc(Cl)c1C(O)=O
1194-65-6,Clc1cccc(Cl)c1C#N
99-30-9,Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O
120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(O)=O
51338-27-3,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
145701-21-9,CCOc1nc(F)cc2nc(nn12)[S](=O)(=O)Nc3c(Cl)cccc3Cl
115-32-2,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
141-66-2,CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C
117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
134-62-3,CCN(CC)C(=O)c1cccc(C)c1
119446-68-3,CC1COC(Cn2cncn2)(O1)c3ccc(Oc4ccc(Cl)cc4)cc3Cl
43222-48-6,CO[S]([O-])(=O)=O.Cn1c(cc(c2ccccc2)[n+]1C)c3ccccc3
87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)scc1C
60-51-5,CNC(=O)CS[P](=S)(OC)OC
110488-70-5,COc1ccc(cc1OC)C(=C\C(=O)N2CCOCC2)/c3ccc(Cl)cc3
131-11-3,COC(=O)c1ccccc1C(=O)OC
83657-24-3,CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cncn2
122-39-4,N(c1ccccc1)c2ccccc2
97886-45-8,CSC(=O)c1c(CC(C)C)c(C(=O)SC)c(nc1C(F)F)C(F)(F)F
155569-91-8,CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.[O-]C(=O)c8ccccc8
115-29-7,ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl
759-94-4,CCCN(CCC)C(=O)SCC
66230-04-4,CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3
55283-68-6,CCN(CC(C)=C)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
97780-06-8,CCOc1nc(NC)nc(NC(=O)N[S](=O)(=O)c2ccccc2C(=O)OC)n1
26225-79-6,CCOC1Oc2ccc(O[S](C)(=O)=O)cc2C1(C)C
13194-48-4,CCCS[P](=O)(OCC)SCCC
153233-91-1,CCOc1cc(ccc1C2COC(=N2)c3c(F)cccc3F)C(C)(C)C
2593-15-9,CCOc1snc(n1)C(Cl)(Cl)Cl
161326-34-7,CSC1=N[C@](C)(C(=O)N1Nc2ccccc2)c3ccccc3
22224-92-6,CCO[P](=O)(NC(C)C)Oc1ccc(SC)c(C)c1
60168-88-9,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
114369-43-6,Clc1ccc(CCC(Cn2cncn2)(C#N)c3ccccc3)cc1
126833-17-8,CC1(CCCCC1)C(=O)Nc2ccc(O)c(Cl)c2Cl
122-14-5,CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O
66441-23-4,CCOC(=O)C(C)Oc1ccc(Oc2oc3cc(Cl)ccc3n2)cc1
72490-01-8,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
55-38-9,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1
120068-37-3,Nc1n(nc(C#N)c1[S](=O)C(F)(F)F)c2c(Cl)cc(cc2Cl)C(F)(F)F
79241-46-6,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(cn2)C(F)(F)F)cc1
3380-34-5,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
131341-86-1,FC1(F)Oc2cccc(c2O1)c3c[nH]cc3C#N
68694-11-1,CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n2ccnc2
62924-70-3,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
98967-40-9,Cc1ccn2nc(nc2n1)[S](=O)(=O)Nc3c(F)cccc3F
103361-09-7,Fc1cc2OCC(=O)N(CC#C)c2cc1N3C(=O)C4=C(CCCC4)C3=O
2164-17-2,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
361377-29-9,CO\N=C(C1=NOCCO1)/c2ccccc2Oc3ncnc(Oc4ccccc4Cl)c3F
69377-81-7,Nc1c(Cl)c(F)nc(OCC(O)=O)c1Cl
81406-37-3,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl
