CAS,SMILES
4291-63-8,Nc1nc(Cl)nc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3
446-72-0,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O
484-17-3,Oc1cc2ccccc2c3ccccc13
50-29-3,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
50-55-5,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6
50892-23-4,Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C
51-28-5,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
51-52-5,CCCC1=CC(=O)NC(=S)N1
528-29-0,[O-][N+](=O)c1ccccc1[N+]([O-])=O
52-86-8,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3
53-03-2,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
534-52-1,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O
548-62-9,[Cl-].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
55285-14-8,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2CC(C)(C)Oc12
563-12-2,CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC
56-53-1,CC\C(c1ccc(O)cc1)=C(\CC)c2ccc(O)cc2
56-55-3,c1ccc2cc3c(ccc4ccccc34)cc2c1
576-26-1,Cc1cccc(C)c1O
57-83-0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
579-66-8,CCc1cccc(CC)c1N
84-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC
58-14-0,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
59756-60-4,CN1C=C(c2ccccc2)C(=O)C(=C1)c3cccc(c3)C(F)(F)F
599-79-1,OC(=O)C1=C\C(C=CC1=O)=N/Nc2ccc(cc2)[S](=O)(=O)Nc3ccccn3
60-09-3,Nc1ccc(cc1)N=Nc2ccccc2
60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
606-20-2,Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O
63-05-8,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
6344-67-8,Oc1ccc2Cc3ccccc3c2c1
7173-51-5,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
72-20-8,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
72-54-8,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
732-11-6,CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O
75330-75-5,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
77-09-8,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4
77-40-7,CCC(C)(c1ccc(O)cc1)c2ccc(O)cc2
789-02-6,Clc1ccc(cc1)C(c2ccccc2Cl)C(Cl)(Cl)Cl
79902-63-9,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
80-46-6,CCC(C)(C)c1ccc(O)cc1
105512-06-9,C[C@@H](Oc1ccc(Oc2ncc(Cl)cc2F)cc1)C(=O)OCC#C
838-88-0,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N
68-22-4,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
86-30-6,O=NN(c1ccccc1)c2ccccc2
86386-73-4,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
87-62-7,Cc1cccc(C)c1N
88-06-2,Oc1c(Cl)cc(Cl)cc1Cl
88-85-7,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O
90-04-0,COc1ccccc1N
91-22-5,c1ccc2ncccc2c1
91-53-2,CCOc1ccc2NC(C)(C)C=C(C)c2c1
91-59-8,Nc1ccc2ccccc2c1
91-64-5,O=C1Oc2ccccc2C=C1
92-87-5,Nc1ccc(cc1)c2ccc(N)cc2
94-13-3,CCCOC(=O)c1ccc(O)cc1
94-26-8,CCCCOC(=O)c1ccc(O)cc1
94-28-0,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
95-48-7,Cc1ccccc1O
95-95-4,Oc1cc(Cl)c(Cl)cc1Cl
97-53-0,COc1cc(CC=C)ccc1O
97-54-1,COc1cc(\C=C\C)ccc1O
98-54-4,CC(C)(C)c1ccc(O)cc1
98-95-3,[O-][N+](=O)c1ccccc1
99-08-1,Cc1cccc(c1)[N+]([O-])=O
99-59-2,COc1ccc(cc1N)[N+]([O-])=O
99-76-3,COC(=O)c1ccc(O)cc1
99-99-0,Cc1ccc(cc1)[N+]([O-])=O
33286-22-5,[Cl-].COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O.[H+]
50-02-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
15307-86-5,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
15687-27-1,CC(C)Cc1ccc(cc1)C(C)C(O)=O
64-77-7,CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1
22204-53-1,COc1ccc2cc(ccc2c1)C(C)C(O)=O
29122-68-7,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
88-24-4,CCc1cc(Cc2cc(CC)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C
36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4
51384-51-1,COCCc1ccc(OCC(O)CNC(C)C)cc1
6846-50-0,CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C
54-31-9,N[S](=O)(=O)c1cc(C(O)=O)c(NCc2occc2)cc1Cl
2416-94-6,Cc1ccc(C)c(O)c1C
604-75-1,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O
15676-16-1,CCN1CCCC1CNC(=O)c2cc(ccc2OC)[S](N)(=O)=O
83-43-2,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
50-24-8,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
97322-87-7,Cc1c(C)c2OC(C)(CCc2c(C)c1O)COc3ccc(CC4SC(=O)NC4=O)cc3
59865-13-3,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
95-74-9,Cc1ccc(N)cc1Cl
76824-35-6,NC(N)=Nc1scc(CSCCC(N)=N[S](N)(=O)=O)n1
73590-58-6,COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C
2078-54-8,CC(C)c1cccc(C(C)C)c1O
111406-87-2,CC(N(O)C(N)=O)c1sc2ccccc2c1
76-57-3,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C
66357-35-5,[H+].[Cl-].CNC(/NCCSCc1oc(CN(C)C)cc1)=C\[N+]([O-])=O
58-15-1,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
65277-42-1,CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
321-64-2,[Cl-].[NH3+]c1c2CCCCc2nc3ccccc13
20830-75-5,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4
59-05-2,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O
54-11-5,CN1CCC[C@H]1c2cccnc2
60-54-8,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O
99-66-1,CCCC(CCC)C(O)=O
55-98-1,C[S](=O)(=O)OCCCCO[S](C)(=O)=O
305-03-3,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
56-75-7,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O
85721-33-1,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
64-86-8,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O
80-08-0,Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2
69655-05-6,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)N=CNc23
89-25-8,CC1=NN(C(=O)C1)c2ccccc2
50-28-2,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
98319-26-7,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
2321-07-5,Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1
29094-61-9,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3
10238-21-8,COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3
53-86-1,COc1ccc2n(c(C)c(CC(O)=O)c2c1)C(=O)c3ccc(Cl)cc3
54-85-3,NNC(=O)c1ccncc1
797-63-7,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
73-31-4,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
84852-15-3,CC(C)CCCCCCc1ccc(O)cc1
84371-65-3,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C
67-20-9,[O-][N+](=O)c1oc(cc1)/C=N/N2CC(=O)NC2=O
57-47-6,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1
117-39-5,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c3ccc(O)c(O)c3)O
13080-86-9,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c3ccc(Oc4ccc(N)cc4)cc3
134308-13-7,Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+]([O-])=O
76-25-5,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
396-01-0,Nc1nc(N)c2nc(c3ccccc3)c(N)nc2n1
70-30-4,Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
125-84-8,CCC1(CCC(=O)NC1=O)c2ccc(N)cc2
54-62-6,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)cnc2n1
66-81-9,C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2
84-66-2,CCOC(=O)c1ccccc1C(=O)OCC
39515-41-8,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
67614-33-9,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3
77-06-5,CC12[C@@H](O)C=C[C@@]3(OC1=O)[C@@H]4CC[C@]5(O)C[C@]4(CC5=C)[C@H]([C@H]23)C(O)=O
389-08-2,CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12
57-24-9,O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c7ccccc67
25812-30-0,Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1
58-93-5,N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1Cl
608-73-1,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
446-86-6,Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+]([O-])=O
486-66-8,Oc1ccc(cc1)C2=COc3cc(O)ccc3C2=O
54965-24-1,CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
84-16-2,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2
59-50-7,Cc1cc(O)ccc1Cl
53-16-7,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O
520-18-3,Oc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2
17924-92-4,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
521-18-6,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
520-36-5,Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
512-56-1,CO[P](=O)(OC)OC
500-38-9,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc2ccc(O)c(O)c2
2467-02-9,Oc1ccccc1Cc2ccccc2O
5153-25-3,CCCCC(CC)COC(=O)c1ccc(O)cc1
105-60-2,O=C1CCCCCN1
93-76-5,OC(=O)COc1cc(Cl)c(Cl)cc1Cl
842-07-9,O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3
131-56-6,Oc1ccc(c(O)c1)C(=O)c2ccccc2
184653-84-7,CC(=O)c1ccc2OC(C)(C)[C@H](O)[C@@H](NC(=O)c3ccc(F)cc3)c2c1
58-18-4,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
80-09-1,Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2
115-96-8,ClCCO[P](=O)(OCCCl)OCCCl
94-18-8,Oc1ccc(cc1)C(=O)OCc2ccccc2
791-28-6,O=[P](c1ccccc1)(c2ccccc2)c3ccccc3
23513-14-6,CCCCCC(O)CC(=O)CCc1ccc(OC)c(O)c1
15619-48-4,[Cl-].C(c1ccccc1)[n+]2cccc3ccccc23
2687-96-9,CCCCCCCCCCCCN1CCCC1=O
90-15-3,Oc1cccc2ccccc12
83-41-0,Cc1cccc(c1C)[N+]([O-])=O
95-14-7,[nH]1nc2ccccc2n1
14233-37-5,CC(C)Nc1ccc(NC(C)C)c2C(=O)c3ccccc3C(=O)c12
57-91-0,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O
10161-33-8,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
15086-94-9,Oc1c(Br)cc2c(Oc3c(Br)c(O)c(Br)cc3C24OC(=O)c5ccccc45)c1Br
2467-03-0,Oc1ccc(Cc2ccccc2O)cc1
21564-17-0,N#CSCSc1sc2ccccc2n1
5809-23-4,CCN(CC)c1ccc(c(O)c1)C(=O)c2ccccc2C(O)=O
97-56-3,Cc1ccccc1N=Nc2ccc(N)c(C)c2
117-79-3,Nc1ccc2C(=O)c3ccccc3C(=O)c2c1
92-04-6,Oc1ccc(cc1Cl)c2ccccc2
587-65-5,ClCC(=O)Nc1ccccc1
4940-11-8,CCC1=C(O)C(=O)C=CO1
131-57-7,COc1ccc(c(O)c1)C(=O)c2ccccc2
583-39-1,S=C1Nc2ccccc2N1
149-30-4,S=C1Nc2ccccc2S1
2785-87-7,CCCc1ccc(O)c(OC)c1
90-05-1,COc1ccccc1O
95-53-4,Cc1ccccc1N
96-70-8,CCc1ccc(O)c(c1)C(C)(C)C
2409-55-4,Cc1ccc(O)c(c1)C(C)(C)C
88-60-8,Cc1ccc(c(O)c1)C(C)(C)C
88-18-6,CC(C)(C)c1ccccc1O
119-47-1,Cc1cc(Cc2cc(C)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C
131-55-5,Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O
84-69-5,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
131-18-0,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC
1563-38-8,CC1(C)Cc2cccc(O)c2O1
1143-72-2,Oc1ccc(c(O)c1O)C(=O)c2ccccc2
136-45-8,CCCOC(=O)c1ccc(nc1)C(=O)OCCC
96-76-4,CC(C)(C)c1ccc(O)c(c1)C(C)(C)C
1470-79-7,Oc1ccc(cc1)C(=O)c2ccc(O)cc2O
527-60-6,Cc1cc(C)c(O)c(C)c1
79-74-3,CCC(C)(C)c1cc(O)c(cc1O)C(C)(C)CC
88-58-4,CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C
3855-32-1,CN(C)CCCN(C)CCCN(C)C
99-07-0,CN(C)c1cccc(O)c1
55406-53-6,CCCCNC(=O)OCC#CI
618-45-1,CC(C)c1cccc(O)c1
108-44-1,Cc1cccc(N)c1
585-34-2,CC(C)(C)c1cccc(O)c1
20325-40-0,[H+].[H+].[Cl-].[Cl-].COc1cc(ccc1N)c2ccc(N)c(OC)c2
612-82-8,[H+].[H+].[Cl-].[Cl-].Cc1cc(ccc1N)c2ccc(N)c(C)c2
79-94-7,CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2
99-54-7,[O-][N+](=O)c1ccc(Cl)c(Cl)c1
626-43-7,Nc1cc(Cl)cc(Cl)c1
1154-59-2,Oc1c(Cl)cc(Cl)cc1C(=O)Nc2ccc(Cl)c(Cl)c2
6893-02-3,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O
10081-67-1,CC(C)(c1ccccc1)c2ccc(Nc3ccc(cc3)C(C)(C)c4ccccc4)cc2
18979-55-0,CCCCCCOc1ccc(O)cc1
150-13-0,Nc1ccc(cc1)C(O)=O
122-37-2,Oc1ccc(Nc2ccccc2)cc1
104-13-2,CCCCc1ccc(N)cc1
4344-55-2,CCCCOc1ccc(N)cc1
1638-22-8,CCCCc1ccc(O)cc1
95-83-0,Nc1ccc(Cl)cc1N
106-47-8,Nc1ccc(Cl)cc1
599-64-4,CC(C)(c1ccccc1)c2ccc(O)cc2
156-43-4,CCOc1ccc(N)cc1
1987-50-4,CCCCCCCc1ccc(O)cc1
33228-45-4,CCCCCCc1ccc(N)cc1
39905-57-2,CCCCCCOc1ccc(N)cc1
121-33-5,COc1cc(C=O)ccc1O
68392-35-8,CC/C(c1ccccc1)=C(c2ccc(O)cc2)/c3ccc(OCCN(C)C)cc3
134-84-9,Cc1ccc(cc1)C(=O)c2ccccc2
100-02-7,Oc1ccc(cc1)[N+]([O-])=O
156-10-5,O=Nc1ccc(Nc2ccccc2)cc1
79794-75-5,CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24
33228-44-3,CCCCCc1ccc(N)cc1
2696-84-6,CCCc1ccc(N)cc1
769-92-6,CC(C)(C)c1ccc(N)cc1
3236-71-3,Oc1ccc(cc1)C2(c3ccc(O)cc3)c4ccccc4c5ccccc25
16752-77-5,CNC(=O)O\N=C(/C)SC
13680-35-8,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N
101-77-9,Nc1ccc(Cc2ccc(N)cc2)cc1
27955-94-8,CC(c1ccc(O)cc1)(c2ccc(O)cc2)c3ccc(O)cc3
2835-95-2,Cc1ccc(N)cc1O
154-42-7,NC1=NC(=S)c2[nH]cnc2N1
98-86-2,CC(=O)c1ccccc1
77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
135158-54-2,CSC(=O)c1cccc2nnsc12
25316-40-9,[Cl-].COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO.[H+]
1646-88-4,CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O
25956-17-6,[Na+].[Na+].COc1cc(c(C)cc1N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O
19774-82-4,[H+].[Cl-].CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3
90-30-2,N(c1ccccc1)c2cccc3ccccc23
3337-71-1,COC(=O)N[S](=O)(=O)c1ccc(N)cc1
2465-27-2,[H+].[Cl-].CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C
35575-96-3,CO[P](=O)(OC)SCN1C(=O)Oc2cc(Cl)cnc12
59-67-6,OC(=O)c1cccnc1
2390-60-5,[Cl-].CCNc1ccc([C+](c2ccc(cc2)N(CC)CC)c3ccc(cc3)N(CC)CC)c4ccccc14
94-09-7,CCOC(=O)c1ccc(N)cc1
118-58-1,Oc1ccccc1C(=O)OCc2ccccc2
253450-09-8,Fc1ccc(CC2CCN(CC2)CC[S](=O)c3ccc4NC(=O)Oc4c3)cc1
90357-06-5,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
491-80-5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O
33171-05-0,Oc1ccc(cc1)\C=C\C(=O)CC(=O)/C=C/c2ccc(O)cc2
1478-61-1,Oc1ccc(cc1)C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F
62625-32-5,[Na+].Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c([O-])c(Br)c4C
22260-51-1,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C.C[S](O)(=O)=O
569-61-9,[H+].[Cl-].Nc1ccc(cc1)C(c2ccc(N)cc2)=C3C=CC(=N)C=C3
13301-61-6,CCN(CCC#N)c1ccc(cc1)N=Nc2c(Cl)cc(cc2Cl)[N+]([O-])=O
3118-97-6,Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(C)c1
509-34-2,CCN(CC)c1ccc2c(Oc3cc(ccc3C24OC(=O)c5ccccc45)N(CC)CC)c1
17696-62-7,Oc1ccc(cc1)C(=O)Oc2ccccc2
63449-41-2,[Cl-].CCCCCCCCCC[N+](C)(C)Cc1ccccc1
112529-15-4,[H+].[Cl-].CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
159138-81-5,CC(C)c1ccc(cc1[S](C)(=O)=O)C(=O)N=C(N)N.C[S](O)(=O)=O
1260-17-9,Cc1c(C(O)=O)c(O)cc2C(=O)c3c(O)c(O)c([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)c3C(=O)c12
120-80-9,Oc1ccccc1O
56-95-1,CC(O)=O.CC(O)=O.NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2
3691-35-8,Clc1ccc(cc1)C(C(=O)C2C(=O)c3ccccc3C2=O)c4ccccc4
1897-45-6,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
569-57-3,COc1ccc(cc1)C(Cl)=C(c2ccc(OC)cc2)c3ccc(OC)cc3
69-09-0,[H+].[Cl-].CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
480-40-0,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3
637-07-0,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
17321-77-6,[H+].[Cl-].CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13
57754-85-5,NCCO.OC(=O)c1nc(Cl)ccc1Cl
23593-75-1,Clc1ccccc1C(n2ccnc2)(c3ccccc3)c4ccccc4
50-22-6,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
458-37-7,COc1cc(\C=C\C(O)=C\C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
120116-88-3,CN(C)[S](=O)(=O)n1c(nc(Cl)c1c2ccc(C)cc2)C#N
4449-51-8,C[C@@H]1CN[C@H]2[C@@H](C)[C@@]3(CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C)O[C@@H]2C1
6055-19-2,O.ClCCN(CCCl)[P]1(=O)NCCCO1
68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
57966-95-7,CCNC(=O)NC(=O)\C(=N\OC)C#N
427-51-0,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
69-74-9,[Cl-].NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O.[H+]
1596-84-5,CN(C)NC(=O)CCC(O)=O
139340-56-0,CC(C)(C)c1cc(/C=C/2SC(=NC2=O)N)cc(c1O)C(C)(C)C.C[S](O)(=O)=O
6190-65-4,CC(C)Nc1nc(N)nc(Cl)n1
90823-38-4,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc2ccccc2.[O-][S]3(=NC(=O)c4ccccc34)=O
2392-39-4,[Na+].[Na+].C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[P]([O-])([O-])=O
109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
97-23-4,Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O
35367-38-5,Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2
141517-21-7,CO\N=C(C(=O)OC)\c1ccccc1CO\N=C(/C)c2cccc(c2)C(F)(F)F
2451-62-9,O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4
957-51-7,CN(C)C(=O)C(c1ccccc1)c2ccccc2
126-00-1,CC(CCC(O)=O)(c1ccc(O)cc1)c2ccc(O)cc2
104-66-5,C(COc1ccccc1)Oc2ccccc2
97-77-8,CCN(CC)C(=S)SSC(=S)N(CC)CC
6533-00-2,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
24169-02-6,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
