CAS,Compound,MW,logP,Fup,Clint_RDKit_pred,log10_Clint_pred,has_SMILES,Clint_source
51-48-9,Levothyroxine,776.9,4.927,1e-06,24.5665,1.3904,True,RDKit_RF_544model
106-47-8,4-chloroanulline,127.6,1.832,0.264,23.9584,1.3795,True,RDKit_RF_544model
1154-59-2,"3,5-dichlorosalicyl-3,4-dichloroanullide",351.0,5.109,1e-06,23.8145,1.3769,True,RDKit_RF_544model
129630-19-9,Pyraflufen-ethyl,413.2,3.491,0.435,23.7881,1.3764,True,RDKit_RF_544model
4418-26-2,Sodium dehydroacetate,190.1,-2.545,0.062,23.7406,1.3755,True,RDKit_RF_544model
115-96-8,Tris(2-chloroethyl) phosphate,285.5,1.441,0.44,23.1869,1.3653,True,RDKit_RF_544model
42874-03-3,Oxyfluorfen,361.7,4.73,0.1218,23.1301,1.3642,True,RDKit_RF_544model
59-40-5,Sulfaquinoxaline,300.3,1.68,0.0037,22.5255,1.3527,True,RDKit_RF_544model
98-86-2,Acetophenone,120.2,1.582,0.326,22.3438,1.3492,True,RDKit_RF_544model
125-13-3,Oxyphenisatin,317.3,3.339,0.0266,22.2569,1.3475,True,RDKit_RF_544model
72-20-8,Endrin,380.9,5.118,0.006423,21.5136,1.3327,True,RDKit_RF_544model
58-89-9,Lindane,290.8,3.719,0.0165,21.4464,1.3314,True,RDKit_RF_544model
608-73-1,"1,2,3,4,5,6-hexachlorocyclohexane",290.8,3.719,0.0174,21.3183,1.3288,True,RDKit_RF_544model
35554-44-0,Imazalil,297.2,3.818,0.02956,21.2727,1.3278,True,RDKit_RF_544model
90-04-0,2-anisidine,123.2,1.18,0.4532,21.2597,1.3276,True,RDKit_RF_544model
148-79-8,Thiabendazole,201.2,2.468,0.1382,21.23,1.327,True,RDKit_RF_544model
102-06-7,"""1,3-diphenylguanidine""",211.3,2.959,0.7844,21.0012,1.3223,True,RDKit_RF_544model
77501-63-4,Lactofen,461.8,4.808,0.005,20.7789,1.3176,True,RDKit_RF_544model
128-39-2,"""2,6-di-tert-butylphenol""",206.3,4.92,0.01953,20.7365,1.3168,True,RDKit_RF_544model
25057-89-0,Bentazone,240.3,2.337,0.02147,20.5985,1.3139,True,RDKit_RF_544model
117-84-0,Di-n-octyl phthalate,390.6,8.097,0.0233,20.483,1.3114,True,RDKit_RF_544model
60-57-1,Dieldrin,380.9,5.118,0.009376,20.3603,1.3088,True,RDKit_RF_544model
95-14-7,"1,2,3-benzotriazole",119.1,1.439,0.287,19.9311,1.2996,True,RDKit_RF_544model
35367-38-5,Diflubenzuron,310.7,3.877,0.0308,19.8353,1.2975,True,RDKit_RF_544model
117-81-7,Diethylhexyl phthalate (dehp),390.6,7.525,0.04558,19.4634,1.2892,True,RDKit_RF_544model
99-65-0,"1,3-dinitrobenzene",168.1,1.492,0.391,19.0438,1.2798,True,RDKit_RF_544model
145742-28-5,"""(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine""",380.4,4.031,0.07996,18.4798,1.2667,True,RDKit_RF_544model
583-39-1,2-mercaptobenzimidazole,150.2,1.66,0.4,18.3734,1.2642,True,RDKit_RF_544model
82657-04-3,Bifenthrin,422.9,6.186,0.005,18.3524,1.2637,True,RDKit_RF_544model
288104-79-0,Surinabant,522.3,5.451,1e-06,18.3038,1.2626,False,RDKit_RF_544model_noSMILES
1024-57-3,"""heptachlor epoxide, isomer b""",389.3,5.191,0.01068,18.1623,1.2592,True,RDKit_RF_544model
95-53-4,2-methylaniline,107.2,1.322,0.713,18.1477,1.2588,True,RDKit_RF_544model
72-54-8,"""p,p'-ddd""",320.0,6.129,0.03115,17.9797,1.2548,True,RDKit_RF_544model
113136-77-9,Cyclanilide,274.1,2.683,0.984,17.9424,1.2539,True,RDKit_RF_544model
125401-92-5,Bispyribac-sodium,452.4,-1.027,0.0106,17.9078,1.2531,False,RDKit_RF_544model_noSMILES
989-38-8,Rhodamine 6g,479.0,1.207,1e-06,17.7365,1.2489,True,RDKit_RF_544model
15086-94-9,"2',4',5',7'-tetrabromofluorescein",647.9,5.861,0.003,17.7062,1.2482,True,RDKit_RF_544model
55283-68-6,Ethalfluralin,333.3,5.11,0.005,17.686,1.2477,True,RDKit_RF_544model
83657-24-3,Diniconazole,326.2,4.297,0.01947,17.5426,1.2441,True,RDKit_RF_544model
90357-06-5,Bicalutamide,430.4,3.477,0.0323,16.9643,1.2296,True,RDKit_RF_544model
68-22-4,Norethindrone,298.4,2.97,0.0516,16.7463,1.2239,True,RDKit_RF_544model
150-13-0,4-aminobenzoic acid,137.1,0.8241,0.766,16.439,1.2159,True,RDKit_RF_544model
120068-37-3,Fipronil,437.1,3.998,0.0461,16.4346,1.2158,True,RDKit_RF_544model
791-28-6,Triphenylphosphine oxide,278.3,2.835,0.101,16.4,1.2149,True,RDKit_RF_544model
1918-00-9,Dicamba,221.0,2.212,0.1802,16.3911,1.2146,True,RDKit_RF_544model
445295-04-5,Cp-671305,454.4,3.118,0.0414,16.2357,1.2105,False,RDKit_RF_544model_noSMILES
10081-67-1,4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline,405.6,9.246,1e-06,16.1958,1.2094,True,RDKit_RF_544model
13080-86-9,"4,4'-(isopropylidenebis(4,1-phenyleneoxy))dianiline",410.5,6.357,1e-06,15.974,1.2034,True,RDKit_RF_544model
13292-46-1,Rifampicin,823.0,3.085,0.04344,15.7626,1.1977,False,RDKit_RF_544model_noSMILES
81-81-2,Warfarin,308.3,2.7,0.01327,15.3996,1.1875,True,RDKit_RF_544model
69-09-0,Chlorpromazine hydrochloride,355.3,1.32,0.0235,15.3616,1.1865,True,RDKit_RF_544model
2212-67-1,Molinate,187.3,3.209,0.09714,15.3557,1.1863,True,RDKit_RF_544model
1702-17-6,Clopyralid,192.0,1.062,0.438,15.3557,1.1863,True,RDKit_RF_544model
131-70-4,Monobutyl phthalate,222.2,2.372,0.2077,15.3366,1.1858,True,RDKit_RF_544model
4376-18-5,Monomethyl phthalate,180.2,1.139,0.372,15.2968,1.1846,True,RDKit_RF_544model
123343-16-8,Pyrithiobac-sodium,348.7,0.6002,0.0334,15.0567,1.1778,True,RDKit_RF_544model
17372-87-1,Eosin,691.9,4.486,0.0524,14.6078,1.1646,True,RDKit_RF_544model
72178-02-0,Fomesafen,438.8,2.902,0.017,14.5575,1.1631,True,RDKit_RF_544model
1912-24-9,Atrazine,215.7,2.611,0.1237,14.4487,1.1599,True,RDKit_RF_544model
1746-81-2,Monolinuron,214.6,2.297,0.205,14.3486,1.1568,True,RDKit_RF_544model
155569-91-8,Emamectin benzoate,1008.0,5.0,0.001379,14.046,1.1476,True,RDKit_RF_544model
50-55-5,Reserpine,608.7,2.57,0.005994,14.0153,1.1466,True,RDKit_RF_544model
50-78-2,Aspirin,180.2,1.193,0.532,13.3179,1.1245,True,RDKit_RF_544model
17321-77-6,Clomipramine hydrochloride,351.3,1.822,0.041,13.0701,1.1163,True,RDKit_RF_544model
115-29-7,Endosulfan,406.9,3.828,0.11,13.0569,1.1159,True,RDKit_RF_544model
1176-74-5,Tetrabromophenolphthalein ethyl ester,662.0,5.769,0.0114,12.8704,1.1096,True,RDKit_RF_544model
3855-32-1,"2,6,10-trimethyl-2,6,10-triazaundecane",201.4,0.2133,0.0383,12.7854,1.1067,True,RDKit_RF_544model
311-45-5,Paraoxon,275.2,1.981,0.46,12.457,1.0954,True,RDKit_RF_544model
55219-65-3,Triadimenol,295.8,2.901,0.1258,12.3882,1.093,True,RDKit_RF_544model
1897-45-6,Chlorothalonil,265.9,2.976,0.378,12.1144,1.0833,True,RDKit_RF_544model
62625-32-5,Bromocresol green sodium salt,720.0,1.581,0.00511,12.0585,1.0813,True,RDKit_RF_544model
125-31-5,P-xylenol blue,410.5,4.034,0.0261,11.9564,1.0776,True,RDKit_RF_544model
1007-28-9,6-desisopropylatrazine,173.6,1.15,0.4588,11.8743,1.0746,True,RDKit_RF_544model
139340-56-0,Darbufelone mesylate,428.6,0.5448,0.00678,11.8132,1.0724,True,RDKit_RF_544model
1563-38-8,"2,3-dihydro-2,2-dimethyl-7-benzofuranol",164.2,2.083,0.364,11.7355,1.0695,True,RDKit_RF_544model
54-31-9,Furosemide,330.7,2.029,0.012,11.7006,1.0682,True,RDKit_RF_544model
21564-17-0,2-(thiocyanomethylthio)benzothiazole,238.3,3.299,0.331,11.5112,1.0612,True,RDKit_RF_544model
54965-24-1,Tamoxifen citrate,563.6,0.8373,0.0012,11.3866,1.0564,True,RDKit_RF_544model
1156-19-0,Tolazamide,311.4,2.687,0.065,11.3517,1.0551,True,RDKit_RF_544model
133855-98-8,Epoxiconazole,329.8,3.072,0.0575,11.2164,1.0499,True,RDKit_RF_544model
1445-75-6,Diisopropyl methylphosphonate (dimp),180.2,1.034,0.9727,11.2087,1.0496,True,RDKit_RF_544model
116-06-3,Aldicarb,190.3,1.129,0.4809,11.0903,1.045,True,RDKit_RF_544model
104206-82-8,Mesotrione,339.3,0.783,0.3548,10.9542,1.0396,True,RDKit_RF_544model
34123-59-6,Isoproturon,206.3,2.686,0.258,10.6762,1.0285,True,RDKit_RF_544model
126-00-1,Diphenolic acid,286.3,3.455,0.163,10.6495,1.0274,True,RDKit_RF_544model
2243-62-1,"""1,5-diaminonaphthalene""",158.2,0.8928,0.6333,10.4937,1.021,True,RDKit_RF_544model
145-73-3,Endothal,186.2,1.907,0.867,10.2769,1.0119,True,RDKit_RF_544model
249296-43-3,Cj-013610,489.6,0.4695,0.0645,10.0788,1.0035,False,RDKit_RF_544model_noSMILES
114-07-8,Erythromycin,733.9,3.06,0.5653,9.9712,0.9988,True,RDKit_RF_544model
25316-40-9,Adriamycin hydrochloride,580.0,1.473,0.157,9.882,0.9949,True,RDKit_RF_544model
66215-27-8,Cyromazine,166.2,0.8033,0.9352,9.855,0.9937,True,RDKit_RF_544model
181274-15-7,Propoxycarbazone-sodium,420.4,1.191,0.00891,9.5154,0.9785,True,RDKit_RF_544model
6153-64-6,Oxytetracycline dihydrate,496.5,-3.97,0.3982,9.4796,0.9768,True,RDKit_RF_544model
2353-45-9,Fd&c green no. 3,808.8,4.633,0.0151,9.2574,0.9665,True,RDKit_RF_544model
131-11-3,Dimethyl phthalate,194.2,1.584,0.656,9.239,0.9657,True,RDKit_RF_544model
56-95-1,Chlorhexidine diacetate,625.6,1.33,0.00236,9.1126,0.9597,True,RDKit_RF_544model
119-93-7,O-tolidine,212.3,2.34,0.1427,9.073,0.9578,True,RDKit_RF_544model
52806-53-8,Hydroxyflutamide,292.2,2.7,0.166,9.0469,0.9566,True,RDKit_RF_544model
957-51-7,Diphenamid,239.3,2.808,0.301,9.0049,0.9545,True,RDKit_RF_544model
199119-58-9,Trifloxysulfuron-sodium,459.3,0.8201,0.00376,8.981,0.9534,True,RDKit_RF_544model
63612-50-0,Nilutamide,317.2,3.114,0.167,8.9524,0.952,True,RDKit_RF_544model
584-79-2,"D-cis,trans-allethrin",302.4,4.78,0.2902,8.8961,0.9492,True,RDKit_RF_544model
25956-17-6,Allura red c.i.16035,496.4,2.328,0.0137,8.7752,0.9433,True,RDKit_RF_544model
6190-65-4,Deethylatrazine,187.6,1.511,0.486,8.7751,0.9433,True,RDKit_RF_544model
147-24-0,Diphenhydramine hydrochloride,291.8,0.3888,0.4131,8.7556,0.9423,True,RDKit_RF_544model
20830-75-5,Digoxin,780.9,1.263,0.7,8.4862,0.9288,True,RDKit_RF_544model
80-09-1,"4,4'-sulfonyldiphenol",250.3,-0.1034,0.0576,8.4643,0.9276,True,RDKit_RF_544model
219714-96-2,Penoxsulam,483.4,2.482,0.01009,8.4536,0.9271,True,RDKit_RF_544model
335104-84-2,Tembotrione,440.8,1.926,0.0919,8.4301,0.9259,False,RDKit_RF_544model_noSMILES
98886-44-3,Fosthiazate,283.3,1.681,0.4599,8.4298,0.9259,True,RDKit_RF_544model
