CAS,Compound,MW,logP,Fup,Clint_RF_pred,log10_Clint_pred,Clint_source
42874-03-3,Oxyfluorfen,361.7,4.73,0.1218,23.9314,1.379,RF_predicted_544model
4418-26-2,Sodium dehydroacetate,190.1,-2.545,0.062,23.6017,1.373,RF_predicted_544model
7173-51-5,Didecyl dimethyl ammonium chloride,362.1,2.683,0.005,23.4886,1.3709,RF_predicted_544model
55335-06-3,Triclopyr,256.5,2.516,0.02237,23.0414,1.3625,RF_predicted_544model
10540-29-1,Tamoxifen,371.5,6.235,0.00165,22.9613,1.361,RF_predicted_544model
126-00-1,Diphenolic acid,286.3,3.455,0.163,22.6583,1.3552,RF_predicted_544model
53-16-7,Estrone,270.4,3.132,0.0308,22.5172,1.3525,RF_predicted_544model
106-47-8,4-chloroanulline,127.6,1.832,0.264,22.3911,1.3501,RF_predicted_544model
35367-38-5,Diflubenzuron,310.7,3.877,0.0308,21.5259,1.333,RF_predicted_544model
98-86-2,Acetophenone,120.2,1.582,0.326,21.3986,1.3304,RF_predicted_544model
59-50-7,4-chloro-3-methylphenol,142.6,3.091,0.0723,21.2667,1.3277,RF_predicted_544model
13080-86-9,"4,4'-(isopropylidenebis(4,1-phenyleneoxy))dianiline",410.5,6.357,1e-06,21.236,1.3271,RF_predicted_544model
81-81-2,Warfarin,308.3,2.7,0.01327,21.1691,1.3257,RF_predicted_544model
10453-86-8,Resmethrin,338.4,6.14,0.005,21.0471,1.3232,RF_predicted_544model
88-24-4,"2,2'-methylenebis(ethyl-6-tert-butylphenol)",368.6,7.47,0.00513,20.988,1.322,RF_predicted_544model
1024-57-3,"""heptachlor epoxide, isomer b""",389.3,5.191,0.01068,20.9291,1.3208,RF_predicted_544model
94-75-7,"2,4-d",221.0,2.809,0.04001,20.3265,1.3081,RF_predicted_544model
791-28-6,Triphenylphosphine oxide,278.3,2.835,0.101,19.9213,1.2993,RF_predicted_544model
114-07-8,Erythromycin,733.9,3.06,0.5653,19.7217,1.295,RF_predicted_544model
84087-01-4,Quinclorac,242.1,2.772,0.02799,19.7035,1.2946,RF_predicted_544model
989-38-8,Rhodamine 6g,479.0,1.207,1e-06,18.9255,1.2771,RF_predicted_544model
77501-63-4,Lactofen,461.8,4.808,0.005,18.879,1.276,RF_predicted_544model
1746-81-2,Monolinuron,214.6,2.297,0.205,18.8169,1.2746,RF_predicted_544model
70-30-4,Hexachlorophene,406.9,7.538,1e-06,18.3247,1.2631,RF_predicted_544model
3855-32-1,"2,6,10-trimethyl-2,6,10-triazaundecane",201.4,0.2133,0.0383,18.2715,1.2618,RF_predicted_544model
10081-67-1,4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline,405.6,9.246,1e-06,18.2651,1.2616,RF_predicted_544model
148-79-8,Thiabendazole,201.2,2.468,0.1382,18.1553,1.259,RF_predicted_544model
128-39-2,"""2,6-di-tert-butylphenol""",206.3,4.92,0.01953,18.1213,1.2582,RF_predicted_544model
2528-16-7,Benzyl hydrogen phthalate,256.3,2.93,0.0352,17.7526,1.2493,RF_predicted_544model
52806-53-8,Hydroxyflutamide,292.2,2.7,0.166,17.3178,1.2385,RF_predicted_544model
68-22-4,Norethindrone,298.4,2.97,0.0516,17.2543,1.2369,RF_predicted_544model
1912-24-9,Atrazine,215.7,2.611,0.1237,17.14,1.234,RF_predicted_544model
199119-58-9,Trifloxysulfuron-sodium,459.3,0.8201,0.00376,16.9612,1.2295,RF_predicted_544model
55283-68-6,Ethalfluralin,333.3,5.11,0.005,16.7232,1.2233,RF_predicted_544model
117-81-7,Diethylhexyl phthalate (dehp),390.6,7.525,0.04558,16.5673,1.2193,RF_predicted_544model
54965-24-1,Tamoxifen citrate,563.6,0.8373,0.0012,16.3478,1.2135,RF_predicted_544model
139340-56-0,Darbufelone mesylate,428.6,0.5448,0.00678,16.1466,1.2081,RF_predicted_544model
131-70-4,Monobutyl phthalate,222.2,2.372,0.2077,16.1333,1.2078,RF_predicted_544model
69-09-0,Chlorpromazine hydrochloride,355.3,1.32,0.0235,15.9755,1.2035,RF_predicted_544model
133855-98-8,Epoxiconazole,329.8,3.072,0.0575,15.9743,1.2034,RF_predicted_544model
288104-79-0,Surinabant,522.3,5.451,1e-06,15.9285,1.2022,RF_predicted_544model
117-84-0,Di-n-octyl phthalate,390.6,8.097,0.0233,15.9117,1.2017,RF_predicted_544model
90-04-0,2-anisidine,123.2,1.18,0.4532,15.7432,1.1971,RF_predicted_544model
119-93-7,O-tolidine,212.3,2.34,0.1427,15.6121,1.1935,RF_predicted_544model
55219-65-3,Triadimenol,295.8,2.901,0.1258,15.5256,1.1911,RF_predicted_544model
145742-28-5,"""(2s,3s)-n-[2-methoxy-5-(trifluoromethoxy)benzyl]-2-phenylpiperidin-3-amine""",380.4,4.031,0.07996,15.3325,1.1856,RF_predicted_544model
17372-87-1,Eosin,691.9,4.486,0.0524,15.1034,1.1791,RF_predicted_544model
1156-19-0,Tolazamide,311.4,2.687,0.065,14.7442,1.1687,RF_predicted_544model
1918-00-9,Dicamba,221.0,2.212,0.1802,14.7381,1.1685,RF_predicted_544model
115-29-7,Endosulfan,406.9,3.828,0.11,14.6674,1.1664,RF_predicted_544model
99-65-0,"1,3-dinitrobenzene",168.1,1.492,0.391,14.3728,1.1576,RF_predicted_544model
66230-04-4,Esfenvalerate,419.9,6.2,1e-06,14.2445,1.1537,RF_predicted_544model
155569-91-8,Emamectin benzoate,1008.0,5.0,0.001379,14.0649,1.1482,RF_predicted_544model
13292-46-1,Rifampicin,823.0,3.085,0.04344,13.8653,1.142,RF_predicted_544model
100784-20-1,Halosulfuron-methyl,434.8,-0.01661,0.009462,13.7017,1.1368,RF_predicted_544model
120068-37-3,Fipronil,437.1,3.998,0.0461,13.6498,1.1352,RF_predicted_544model
125401-92-5,Bispyribac-sodium,452.4,-1.027,0.0106,13.5467,1.1319,RF_predicted_544model
62924-70-3,Flumetralin,421.7,5.447,0.005,13.4533,1.1289,RF_predicted_544model
2321-07-5,Fluorescein,332.3,2.531,0.151,13.3718,1.1262,RF_predicted_544model
51-48-9,Levothyroxine,776.9,4.927,1e-06,13.147,1.1189,RF_predicted_544model
15086-94-9,"2',4',5',7'-tetrabromofluorescein",647.9,5.861,0.003,13.1449,1.1188,RF_predicted_544model
125-31-5,P-xylenol blue,410.5,4.034,0.0261,13.1218,1.118,RF_predicted_544model
1176-74-5,Tetrabromophenolphthalein ethyl ester,662.0,5.769,0.0114,12.7764,1.1064,RF_predicted_544model
81131-70-6,Pravastatin sodium,446.5,-0.2281,0.361,12.355,1.0919,RF_predicted_544model
54-31-9,Furosemide,330.7,2.029,0.012,12.2215,1.0872,RF_predicted_544model
63612-50-0,Nilutamide,317.2,3.114,0.167,12.2205,1.0871,RF_predicted_544model
2243-62-1,"""1,5-diaminonaphthalene""",158.2,0.8928,0.6333,11.7722,1.0709,RF_predicted_544model
6893-02-3,"3,5,3'-triiodothyronine",651.0,3.769,3.46e-05,11.6918,1.0679,RF_predicted_544model
6153-64-6,Oxytetracycline dihydrate,496.5,-3.97,0.3982,11.5619,1.0631,RF_predicted_544model
97780-06-8,Ethametsulfuron methyl,410.4,1.59,0.01566,11.5115,1.0612,RF_predicted_544model
66215-27-8,Cyromazine,166.2,0.8033,0.9352,11.4507,1.0589,RF_predicted_544model
72178-02-0,Fomesafen,438.8,2.902,0.017,10.9794,1.0406,RF_predicted_544model
56-95-1,Chlorhexidine diacetate,625.6,1.33,0.00236,10.9013,1.0375,RF_predicted_544model
34123-59-6,Isoproturon,206.3,2.686,0.258,10.875,1.0365,RF_predicted_544model
95-53-4,2-methylaniline,107.2,1.322,0.713,10.756,1.0317,RF_predicted_544model
6190-65-4,Deethylatrazine,187.6,1.511,0.486,10.6139,1.0259,RF_predicted_544model
445295-04-5,Cp-671305,454.4,3.118,0.0414,10.4359,1.0186,RF_predicted_544model
20325-40-0,"3,3'-dimethoxybenzidine dihydrochloride",317.2,-0.2588,0.201,10.1573,1.0068,RF_predicted_544model
150-13-0,4-aminobenzoic acid,137.1,0.8241,0.766,10.1339,1.0058,RF_predicted_544model
90357-06-5,Bicalutamide,430.4,3.477,0.0323,9.9456,0.9977,RF_predicted_544model
62625-32-5,Bromocresol green sodium salt,720.0,1.581,0.00511,9.9455,0.9977,RF_predicted_544model
50-78-2,Aspirin,180.2,1.193,0.532,9.8568,0.9938,RF_predicted_544model
21725-46-2,Cyanazine,240.7,2.221,0.3155,9.513,0.9784,RF_predicted_544model
181274-15-7,Propoxycarbazone-sodium,420.4,1.191,0.00891,9.5063,0.9781,RF_predicted_544model
104098-48-8,Imazapic,275.3,2.464,0.5468,9.4587,0.9759,RF_predicted_544model
123343-16-8,Pyrithiobac-sodium,348.7,0.6002,0.0334,9.3893,0.9727,RF_predicted_544model
2353-45-9,Fd&c green no. 3,808.8,4.633,0.0151,9.3549,0.9711,RF_predicted_544model
59-05-2,Methotrexate,454.4,-1.847,0.432,9.275,0.9674,RF_predicted_544model
147-24-0,Diphenhydramine hydrochloride,291.8,0.3888,0.4131,8.63,0.9361,RF_predicted_544model
76824-35-6,Famotidine,337.4,-0.6389,0.84,8.5857,0.9338,RF_predicted_544model
57-68-1,Sulfamethazine,278.3,0.1913,0.175,8.512,0.9301,RF_predicted_544model
73-31-4,Melatonin,232.3,0.6118,0.498,8.4905,0.929,RF_predicted_544model
41394-05-2,Metamitron,202.2,0.8305,0.693,8.485,0.9287,RF_predicted_544model
114311-32-9,Imazamox,305.3,0.7307,0.4548,8.4837,0.9286,RF_predicted_544model
129630-19-9,Pyraflufen-ethyl,413.2,3.491,0.435,8.4811,0.9285,RF_predicted_544model
21564-17-0,2-(thiocyanomethylthio)benzothiazole,238.3,3.299,0.331,8.3796,0.9233,RF_predicted_544model
25956-17-6,Allura red c.i.16035,496.4,2.328,0.0137,8.3086,0.9196,RF_predicted_544model
60-54-8,Tetracycline,444.4,-1.295,0.468,8.0209,0.9043,RF_predicted_544model
15676-16-1,Sulpiride,341.4,0.5712,1.0,7.9945,0.9028,RF_predicted_544model
43222-48-6,Difenzoquat metilsulfate,360.4,0.5632,0.8513,7.9846,0.9023,RF_predicted_544model
173159-57-4,Foramsulfuron,452.4,0.7454,0.0649,7.8312,0.8939,RF_predicted_544model
1007-28-9,6-desisopropylatrazine,173.6,1.15,0.4588,7.7429,0.889,RF_predicted_544model
1897-45-6,Chlorothalonil,265.9,2.976,0.378,7.7292,0.8882,RF_predicted_544model
249296-43-3,Cj-013610,489.6,0.4695,0.0645,7.6402,0.8832,RF_predicted_544model
116-06-3,Aldicarb,190.3,1.129,0.4809,7.5812,0.8798,RF_predicted_544model
80-09-1,"4,4'-sulfonyldiphenol",250.3,-0.1034,0.0576,7.5679,0.879,RF_predicted_544model
34487-61-1,Phenol red sodium salt,376.4,0.9263,0.0878,7.4813,0.874,RF_predicted_544model
2058-46-0,Oxytetracycline hydrochloride,496.9,-1.034,0.6283,7.4709,0.8734,RF_predicted_544model
25316-40-9,Adriamycin hydrochloride,580.0,1.473,0.157,7.4154,0.8702,RF_predicted_544model
58-93-5,Hydrochlorothiazide,297.7,-0.07002,0.274,7.413,0.8701,RF_predicted_544model
159138-81-5,Cariporide mesylate,379.4,0.5727,0.451,7.2621,0.8611,RF_predicted_544model
87820-88-0,Tralkoxydim,329.4,4.461,0.169,7.206,0.8578,RF_predicted_544model
17321-77-6,Clomipramine hydrochloride,351.3,1.822,0.041,7.1793,0.8561,RF_predicted_544model
311-45-5,Paraoxon,275.2,1.981,0.46,7.1413,0.8538,RF_predicted_544model
957-51-7,Diphenamid,239.3,2.808,0.301,7.0355,0.8474,RF_predicted_544model
1214-39-7,N-benzyladenine,225.3,1.567,0.138,6.9957,0.8449,RF_predicted_544model
100-97-0,Methenamine,140.2,-0.1649,0.352,6.8765,0.8374,RF_predicted_544model
219714-96-2,Penoxsulam,483.4,2.482,0.01009,6.8538,0.836,RF_predicted_544model
82657-04-3,Bifenthrin,422.9,6.186,0.005,6.8174,0.8337,RF_predicted_544model
50-55-5,Reserpine,608.7,2.57,0.005994,6.8116,0.8333,RF_predicted_544model
1702-17-6,Clopyralid,192.0,1.062,0.438,6.7372,0.8285,RF_predicted_544model
69655-05-6,Didanosine,236.2,-1.238,0.951,6.631,0.8216,RF_predicted_544model
184653-84-7,Carabersat,357.4,3.204,0.187,6.5961,0.8194,RF_predicted_544model
57837-19-1,Metalaxyl,279.3,1.65,0.7306,6.5369,0.8154,RF_predicted_544model
1445-75-6,Diisopropyl methylphosphonate (dimp),180.2,1.034,0.9727,6.5352,0.8153,RF_predicted_544model
1918-02-1,Picloram,241.4,1.899,0.23,6.4818,0.8118,RF_predicted_544model
119-90-4,"3,3'-dimethoxybenzidine",244.3,1.813,0.3343,6.4201,0.8076,RF_predicted_544model
446-86-6,Azathioprine,277.3,0.101,0.32,6.3978,0.8061,RF_predicted_544model
77-06-5,Gibberellic_acid,346.4,0.2422,0.24,6.292,0.7989,RF_predicted_544model
30560-19-1,Acephate,183.2,-0.8482,0.8684,6.2837,0.7983,RF_predicted_544model
335104-84-2,Tembotrione,440.8,1.926,0.0919,6.1706,0.7904,RF_predicted_544model
145-73-3,Endothal,186.2,1.907,0.867,6.1588,0.7896,RF_predicted_544model
1563-66-2,Carbofuran,221.3,1.974,0.4213,6.1181,0.7867,RF_predicted_544model
67-20-9,Nitrofurantoin,238.2,-0.4691,0.415,6.1125,0.7863,RF_predicted_544model
1646-88-4,Aldoxycarb,222.3,-0.5679,0.948,6.0866,0.7844,RF_predicted_544model
90823-38-4,Denatonium saccharide,507.6,0.8279,0.488,6.0587,0.7824,RF_predicted_544model
57-30-7,Phenobarbital sodium,254.2,-1.405,0.247,5.9437,0.7741,RF_predicted_544model
4376-18-5,Monomethyl phthalate,180.2,1.139,0.372,5.8868,0.77,RF_predicted_544model
153719-23-4,Thiamethoxam,291.7,-0.1191,0.8286,5.8273,0.7655,RF_predicted_544model
314-40-9,Bromacil,261.1,2.109,0.0852,5.7783,0.7619,RF_predicted_544model
104206-82-8,Mesotrione,339.3,0.783,0.3548,5.7089,0.7566,RF_predicted_544model
131-11-3,Dimethyl phthalate,194.2,1.584,0.656,5.701,0.756,RF_predicted_544model
135410-20-7,Acetamiprid,222.7,1.834,0.5732,5.694,0.7555,RF_predicted_544model
3337-71-1,Asulam,230.2,-0.2672,0.456,5.6563,0.7526,RF_predicted_544model
1698-60-8,Chloridazon,221.6,1.172,0.4273,5.5861,0.7472,RF_predicted_544model
584-79-2,"D-cis,trans-allethrin",302.4,4.78,0.2902,5.4616,0.7374,RF_predicted_544model
82385-42-0,Sodium saccharin hydrate,223.2,-2.005,0.698,5.3718,0.7302,RF_predicted_544model
6923-22-4,Monocrotophos,223.2,-0.1994,0.898,5.2158,0.7174,RF_predicted_544model
20830-75-5,Digoxin,780.9,1.263,0.7,5.0748,0.7055,RF_predicted_544model
23135-22-0,Oxamyl,219.3,-0.4706,0.7926,5.0644,0.7046,RF_predicted_544model
6055-19-2,Cyclophosphamide monohydrate,279.1,1.304,0.772,4.8194,0.6831,RF_predicted_544model
51-30-9,Isoproterenol hydrochloride,247.7,-1.184,0.609,4.7158,0.6736,RF_predicted_544model
98886-44-3,Fosthiazate,283.3,1.681,0.4599,4.5972,0.6626,RF_predicted_544model
115-96-8,Tris(2-chloroethyl) phosphate,285.5,1.441,0.44,4.5579,0.6589,RF_predicted_544model
54-62-6,Aminopterin,440.4,-0.05046,0.75,4.4274,0.6462,RF_predicted_544model
101-80-4,"""4,4'-oxydianiline""",200.2,1.364,0.3284,4.3707,0.6406,RF_predicted_544model
122931-48-0,Rimsulfuron,431.4,0.2909,0.6278,4.14,0.6171,RF_predicted_544model
396-01-0,Triamterene,253.3,0.9803,0.333,4.0856,0.6114,RF_predicted_544model
141-66-2,Dicrotophos,237.2,0.0002994,0.8457,3.8668,0.5875,RF_predicted_544model
80-08-0,Dapsone,248.3,0.9717,0.295,3.8442,0.5849,RF_predicted_544model
57754-85-5,Clopyralid-olamine,253.1,1.453,0.464,3.7001,0.5683,RF_predicted_544model
4291-63-8,2-chloro-2'-deoxyadenosine,285.7,0.01732,0.9848,3.1009,0.4916,RF_predicted_544model
88-12-0,N-vinyl-2-pyrrolidone,111.1,0.3681,0.953,2.7782,0.4439,RF_predicted_544model
81334-34-1,Imazapyr,261.3,0.2237,0.9231,2.6497,0.4234,RF_predicted_544model
110-26-9,"""n,n'-methylenebis(acrylamide)""",154.2,-0.6668,1.0,2.4158,0.3832,RF_predicted_544model
59-87-0,Nitrofurazone,198.1,0.2287,0.856,2.3975,0.3799,RF_predicted_544model
112-49-2,Triethylene glycol dimethyl ether,178.2,-0.1647,0.66,2.3083,0.3635,RF_predicted_544model
105-60-2,Caprolactam,113.2,-1.193,0.761,1.8067,0.2571,RF_predicted_544model
154-42-7,6-thioguanine,167.2,-0.06896,0.804,1.7414,0.2411,RF_predicted_544model
112-50-5,2-[2-(2-ethoxyethoxy)ethoxy]ethanol,178.2,0.03197,1.0,1.2952,0.1127,RF_predicted_544model
